epochtime,accelX,accelY,accelZ,magnX,magnY,magnZ,gyroX,gyroY,gyroZ
1398383832,-976,76,27,73,2777,-308,-554,1593,-746
1398383832,-1045,48,27,73,2777,-308,-483,1273,797
1398383832,-1157,-4,30,68,2789,-322,-737,1217,3073
1398383832,-1301,-107,49,50,2789,-322,-718,1203,3371
1398383832,-1377,-183,-4,23,2805,-323,-447,656,2487
1398383832,-1441,-165,-50,6,2805,-328,-327,-321,360
1398383832,-1405,-70,-45,5,2805,-325,-257,-676,83
1398383832,-1405,186,-55,9,2805,-328,-245,-709,-118
1398383832,-1287,18,-55,9,2805,-321,-242,-557,-178
1398383832,-1237,67,-55,1,2801,-321,70,-193,276
1398383832,-1238,97,-44,-8,2807,-325,188,279,644
1398383832,-1252,65,-29,-18,2811,-322,267,630,833
1398383832,-1269,37,-16,-21,2814,-326,316,901,606
1398383832,-1269,37,11,-33,2815,-321,289,866,548
1398383832,-1341,17,11,-33,2815,-321,37,546,412
1398383832,-1370,-27,48,-37,2822,-320,-130,250,164
1398383832,-1400,-17,45,-44,2821,-320,-391,-463,118
1398383832,-1346,-22,34,-48,2820,-325,-514,-798,256
1398383832,-1346,9,39,-46,2824,-326,-605,-727,326
1398383832,-1309,9,39,-46,2822,-333,-626,-623,181
1398383832,-1278,17,-10,-40,2822,-333,-564,-612,-175
1398383832,-1312,25,35,-49,2814,-337,-409,-570,-421
1398383832,-1308,29,79,-51,2825,-330,-353,-574,-373
1398383832,-1306,34,38,-50,2827,-330,-290,-402,-118
1398383832,-1306,28,35,-52,2828,-332,-508,-30,193
1398383833,-1304,28,35,-52,2830,-341,-350,3,145
1398383833,-1298,16,3,-47,2830,-341,-494,171,-238
1398383833,-1291,23,7,-59,2827,-349,-423,114,-357
1398383833,-1308,13,39,-43,2823,-355,-258,-185,-317
1398383833,-1315,3,30,-54,2826,-342,-192,-729,154
1398383833,-1315,-253,14,-48,2829,-334,-139,-918,275
1398383833,-1294,-23,14,-48,2829,-335,-303,-1134,164
1398383833,-1281,-17,6,-60,2826,-335,-481,-1097,16
1398383833,-1239,-44,-14,-56,2831,-336,-592,-470,-320
1398383833,-1233,-29,-26,-64,2832,-345,-479,-250,182
1398383833,-1210,-12,1,-60,2835,-346,-389,242,545
1398383833,-1210,-12,-45,-76,2837,-355,-93,946,878
1398383833,-1145,-42,-45,-76,2837,-351,-2,1194,765
1398383833,-1172,-2,-47,-83,2834,-351,73,1113,950
1398383833,-1225,20,-140,-100,2852,-361,56,938,1995
1398383833,-1392,76,-213,-127,2849,-353,-436,583,2983
1398383833,-1613,33,-208,-161,2866,-360,-1455,-1201,5618
1398383833,-1613,33,-134,-204,2881,-381,-2154,-2942,6310
1398383833,-2181,-185,-134,-204,2881,-392,-4067,-7685,4125
1398383833,-3604,-233,141,-224,2887,-392,-5435,-13262,1929
1398383833,-5208,-232,898,-173,2874,-384,-6945,-31258,-2436
